
NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
B 1609 PDM     	2024-08-23	12:36:03	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        
B 1609 PDN     	2024-08-23	12:36:04	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 1609 PDM     	2024-08-23	12:36:05	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        
B 1669 PDM     	2024-08-23	12:36:05	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        
B 1669 PDM     	2024-08-23	12:36:06	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        
B 1505 ZFX     	2024-08-23	12:36:07	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-23	12:36:07	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 2526 KMB     	2024-08-23	12:36:08	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-23	12:36:09	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 1095 LKU     	2024-08-23	12:36:09	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-23	12:36:10	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 2123 YJ      	2024-08-23	12:36:11	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-23	12:36:11	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-23	12:36:12	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
L 1373 LN      	2024-08-23	12:36:13	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-23	12:36:13	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-23	12:36:14	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
1B 1882 SEO    	2024-08-23	12:36:15	genap       	aJOZeVXPm3VDRF+4DJvtMw==        
B 1882 SEO     	2024-08-23	12:36:15	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 1882 SEO     	2024-08-23	12:36:16	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
7B 1882 SEQ    	2024-08-23	12:36:17	genap       	ScsPV5mFPAvXBkwGhHjOEg==        
B 1682 SEO     	2024-08-23	12:36:17	genap       	AKzAmxR6xGE3pblM6l+BkA==        
               	2024-08-23	12:36:18	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
B 1505 ZF      	2024-08-23	12:36:19	ganjil      	gu1tqoY7nbjY3Rf0gzV8sA==        
B 1505 ZFX     	2024-08-23	12:36:19	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
               	2024-08-23	12:36:20	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
B 1609 PDN     	2024-08-23	12:36:21	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 1609 PDH     	2024-08-23	12:36:21	ganjil      	krcMGvWJ+lxJUdvV/pai2Q==        
B 1609 PDN     	2024-08-23	12:36:22	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 2526 KMB     	2024-08-23	12:36:23	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-23	12:36:24	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-23	12:36:25	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 1505 ZFX     	2024-08-23	12:36:26	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-23	12:36:26	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-23	12:36:27	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-23	12:36:28	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-23	12:36:29	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
iB 2123 YJ     	2024-08-23	12:36:29	ganjil      	fPgZm5d4v0t28XZ622I2tA==        
B 2123 YJ      	2024-08-23	12:36:30	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-23	12:36:31	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
q 2123 YJ      	2024-08-23	12:36:31	ganjil      	eLHz2JC6R2sgxvLUqfuHgQ==        
B 1095 LKU     	2024-08-23	12:36:32	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-23	12:36:33	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-23	12:36:34	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 UKU     	2024-08-23	12:36:34	ganjil      	wkNm8GeXDSJ1wIKJ2Rc+Iw==        
L 1373 LN      	2024-08-23	12:36:35	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-23	12:36:36	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-23	12:36:37	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
B 1882 SEO     	2024-08-23	12:36:37	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 1882 SEO     	2024-08-23	12:36:38	genap       	XHnwdj5OE4hbvNCLdlVnVw==        

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
B 1609 PDM     	2024-08-23	16:09:42	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        
B 1609 PDN     	2024-08-23	16:09:45	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 1609 PDM     	2024-08-23	16:09:46	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        
B 1669 PDM     	2024-08-23	16:09:48	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        
B 1669 PDM     	2024-08-23	16:09:49	ganjil      	oR2u1Omq+GVdmVxr3y1AQg==        
B 1505 ZFX     	2024-08-23	16:09:50	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-23	16:09:51	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 2526 KMB     	2024-08-23	16:09:52	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-23	16:09:54	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 1095 LKU     	2024-08-23	16:09:55	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-23	16:09:56	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 2123 YJ      	2024-08-23	16:09:57	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-23	16:09:58	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-23	16:09:59	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
L 1373 LN      	2024-08-23	16:10:00	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-23	16:10:01	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-23	16:10:02	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
1B 1882 SEO    	2024-08-23	16:10:04	genap       	aJOZeVXPm3VDRF+4DJvtMw==        
B 1882 SEO     	2024-08-23	16:10:05	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 1882 SEO     	2024-08-23	16:10:06	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
7B 1882 SEQ    	2024-08-23	16:10:07	genap       	ScsPV5mFPAvXBkwGhHjOEg==        
B 1682 SEO     	2024-08-23	16:10:08	genap       	AKzAmxR6xGE3pblM6l+BkA==        
               	2024-08-23	16:10:17	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
B 1505 ZF      	2024-08-23	16:10:58	ganjil      	gu1tqoY7nbjY3Rf0gzV8sA==        
B 1505 ZFX     	2024-08-23	16:11:00	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
               	2024-08-23	16:12:10	tidak terbaca	qOi4NJVO4/podMosyjE1QA==        
B 1609 PDN     	2024-08-23	16:12:41	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 1609 PDH     	2024-08-23	16:12:43	ganjil      	krcMGvWJ+lxJUdvV/pai2Q==        
B 1609 PDN     	2024-08-23	16:12:44	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
B 2526 KMB     	2024-08-23	16:12:45	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-23	16:12:46	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 2526 KMB     	2024-08-23	16:12:47	genap       	tQU7hmsle73ygXkSLM+pJw==        
B 1505 ZFX     	2024-08-23	16:12:49	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-23	16:12:50	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-23	16:12:51	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-23	16:12:52	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
B 1505 ZFX     	2024-08-23	16:12:53	ganjil      	74Sb38vPIMRPf7h7QBHVzg==        
iB 2123 YJ     	2024-08-23	16:12:55	ganjil      	fPgZm5d4v0t28XZ622I2tA==        
B 2123 YJ      	2024-08-23	16:12:56	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
B 2123 YJ      	2024-08-23	16:12:57	ganjil      	ZuxJxYLxBWN+pWv7EPprWw==        
q 2123 YJ      	2024-08-23	16:12:58	ganjil      	eLHz2JC6R2sgxvLUqfuHgQ==        
B 1095 LKU     	2024-08-23	16:12:59	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-23	16:13:01	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 LKU     	2024-08-23	16:13:02	ganjil      	lEeiipQXpBnoBsQdWdgQIw==        
B 1095 UKU     	2024-08-23	16:13:03	ganjil      	wkNm8GeXDSJ1wIKJ2Rc+Iw==        
L 1373 LN      	2024-08-23	16:13:04	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-23	16:13:05	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
L 1373 LN      	2024-08-23	16:13:06	ganjil      	CL6OOSgIiCwyhqFtK0La5g==        
B 1882 SEO     	2024-08-23	16:13:07	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
B 1882 SEO     	2024-08-23	16:13:08	genap       	XHnwdj5OE4hbvNCLdlVnVw==        
                 
       

NoPlat         	Tanggal   	Waktu   	Klasifikasi 	Enkripsi AES                    
B 1609 PDM     	2024-08-24	20:14:03	ganjil      	Qnvu9FVm+u1kbXdu9aqCoA==        
B 1609 PDN     	2024-08-24	20:14:17	ganjil      	Ez5pt48X48iPiGXlLAtu7g==        
