Tanggal        	Waktu          	NoPlat    	Enkripsi                                          	Decode                                            	Waktu Dekripsi (ms) 
2024-08-23     	12:36:03       	B 1609 PDM     	Qnvu9FVm+u1kbXdu9aqCoA==                          	B 1609 PDM                                        	1.147               
2024-08-23     	12:36:04       	B 1609 PDN     	Ez5pt48X48iPiGXlLAtu7g==                          	B 1609 PDN                                        	0.013               
2024-08-23     	12:36:05       	B 1609 PDM     	Qnvu9FVm+u1kbXdu9aqCoA==                          	B 1609 PDM                                        	0.012               
2024-08-23     	12:36:05       	B 1669 PDM     	oR2u1Omq+GVdmVxr3y1AQg==                          	B 1669 PDM                                        	0.012               
2024-08-23     	12:36:06       	B 1669 PDM     	oR2u1Omq+GVdmVxr3y1AQg==                          	B 1669 PDM                                        	0.011               
2024-08-23     	12:36:07       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-23     	12:36:07       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-23     	12:36:08       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-23     	12:36:09       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-23     	12:36:09       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.011               
2024-08-23     	12:36:10       	B 1095 LKU     	lEeiipQXpBnoBsQdWdgQIw==                          	B 1095 LKU                                        	0.011               
2024-08-23     	12:36:11       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.011               
2024-08-23     	12:36:11       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.011               
2024-08-23     	12:36:12       	B 2123 YJ      	ZuxJxYLxBWN+pWv7EPprWw==                          	B 2123 YJ                                         	0.011               
2024-08-23     	12:36:13       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-23     	12:36:13       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-23     	12:36:14       	L 1373 LN      	CL6OOSgIiCwyhqFtK0La5g==                          	L 1373 LN                                         	0.011               
2024-08-23     	12:36:15       	1B 1882 SEO    	aJOZeVXPm3VDRF+4DJvtMw==                          	1B 1882 SEO                                       	0.011               
2024-08-23     	12:36:15       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.012               
2024-08-23     	12:36:16       	B 1882 SEO     	XHnwdj5OE4hbvNCLdlVnVw==                          	B 1882 SEO                                        	0.011               
2024-08-23     	12:36:17       	7B 1882 SEQ    	ScsPV5mFPAvXBkwGhHjOEg==                          	7B 1882 SEQ                                       	0.011               
2024-08-23     	12:36:17       	B 1682 SEO     	AKzAmxR6xGE3pblM6l+BkA==                          	B 1682 SEO                                        	0.011               
2024-08-23     	12:36:19       	B 1505 ZF      	gu1tqoY7nbjY3Rf0gzV8sA==                          	B 1505 ZF                                         	0.011               
2024-08-23     	12:36:19       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
2024-08-23     	12:36:21       	B 1609 PDN     	Ez5pt48X48iPiGXlLAtu7g==                          	B 1609 PDN                                        	0.014               
2024-08-23     	12:36:21       	B 1609 PDH     	krcMGvWJ+lxJUdvV/pai2Q==                          	B 1609 PDH                                        	0.011               
2024-08-23     	12:36:22       	B 1609 PDN     	Ez5pt48X48iPiGXlLAtu7g==                          	B 1609 PDN                                        	0.011               
2024-08-23     	12:36:23       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-23     	12:36:24       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-23     	12:36:25       	B 2526 KMB     	tQU7hmsle73ygXkSLM+pJw==                          	B 2526 KMB                                        	0.011               
2024-08-23     	12:36:26       	B 1505 ZFX     	74Sb38vPIMRPf7h7QBHVzg==                          	B 1505 ZFX                                        	0.011               
